"Id товара","Дата добавления",Код,"Название товара","Краткое описание",Описание,Цена,"Каталог изображений",Категория,Подкатегория,Цвета,Размеры,Бренд,Активен,"Количество товаров",Сеокод,Просмотров
16,"28 мая 2016 г.",TYU67,"Пиджак Orin","Пиджак oodji приталенного силуэта выполнен из плотного мягкого хлопка","Пиджак oodji приталенного силуэта выполнен из плотного мягкого хлопка. Детали: отложной воротник; контрастные светлые пуговицы; два внешних и два внутренних кармана; контрастная подкладка.",756.12,1471009014,"Мужская одежда",Пиджаки,"black, brown","42.5, 45",Adidas,1,11,pidzhak-orin-16,2
13,"28 мая 2016 г.",OI90-6,"Пиджак Orin","Пиджак oodji приталенного силуэта выполнен из плотного мягкого хлопка","Пиджак oodji приталенного силуэта выполнен из плотного мягкого хлопка. Детали: отложной воротник; контрастные светлые пуговицы; два внешних и два внутренних кармана; контрастная подкладка.",896.00,,"Мужская одежда",Пиджаки,"black, white",45,Pradella,1,16,pidzhak-orin,1
11,"18 мая 2016 г.",Opput-4,"Брюки Orin",,"Брюки зауженного кроя от Topman выполнены из тонкого хлопкового денима. Детали: застежка на пуговицы, шлевки под ремень, два боковых и два задних кармана..",567.00,,"Мужская одежда",Брюки,"black, white",42.5,Montana,1,0,bryuki-orin-11,6
12,"14 мая 2016 г.",LkioJ,"Брюки Orin","Брюки зауженного кроя от Topman","Брюки зауженного кроя от Topman выполнены из тонкого хлопкового денима. Детали: застежка на пуговицы, шлевки под ремень, два боковых и два задних кармана..",1398.00,,"Мужская одежда",Брюки,"black, brown","35, 42.5, 45",Otto,1,0,bryuki-orin-12,2
7,"12 мая 2016 г.",8EZsD,"Кроссовки Montana","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием. Детали: усиленный мыс, текстильная подкладка и стелька; технология Powerframe обеспечивает поддержку средней части стопы; система ускоренной шнуровки для надежной посадки по ноге; промежуточная подошва ZStrike гарантирует непревзойденную амортизацию.",854.78,,"Мужская обувь",Кроссовки,"black, brown, white",56.5,Ergonauts,1,0,krossovki-montana,2
20,"2 мая 2016 г.",Calculus-1,"Calculus Horse Leather Ankle Boot","5305 Smooth Horse Leather Ankle Boot","<ul>
<li>Smooth horse leather</li>
<li>Stacked leather heel</li>
<li>Stacked leather sole</li>
<li>Reinforced heel cup</li>
<li>Unlined</li>
<li>Made in Italy</li>
</ul>
<p>100% horse leather<br>
Fits small, size up</p>",1095.00,1469283673,"Мужская обувь",Ботинки,"black, white","42.5, 45",Gosha,1,0,calculus-horse-leather-ankle-boot,3
19,"18 апр. 2016 г.",Guidi-2,"Guidi 27E Calf Leather Slip On Shoe","100% calf leather, Fits small, size up","<ul>
<li>Full-grain calf leather</li>
<li>Unlined</li>
<li>Flat leather sole</li>
<li>Made in Italy</li>
</ul>
<p>100% horse leather<br>
Fits small, size up</p>",725.00,1469283336,"Мужская обувь",Ботинки,black,"45, 48",Ergonauts,1,0,guidi-27e-calf-leather-slip-on-shoe,2
18,"14 апр. 2016 г.",Guidi-1,"Guidi 17 Horse Leather One Piece Ankle Boot","Full-grain horse leather","Full-grain horse leather Lined One piece upper Stacked leather heel Made in Italy 100% horse leather Fits small, size up",1025.00,1469282895,"Мужская обувь",Ботинки,black,"35, 42.5, 45",Calculus,1,6,guidi-17-horse-leather-one-piece-ankle-boot,4
10,"11 апр. 2016 г.",HjTY-4,"Брюки Orin",,"Брюки зауженного кроя от Topman выполнены из тонкого хлопкового денима. Детали: застежка на пуговицы, шлевки под ремень, два боковых и два задних кармана..",384.00,,"Мужская одежда",Брюки,"black, white",48,Henley,1,0,bryuki-orin,0
6,"28 марта 2016 г.",REEB28364,"Кроссовки Reebok","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием. Детали: усиленный мыс, текстильная подкладка и стелька; технология Powerframe обеспечивает поддержку средней части стопы; система ускоренной шнуровки для надежной посадки по ноге; промежуточная подошва ZStrike гарантирует непревзойденную амортизацию.",65.45,new_1487443543,"Мужская обувь",Кроссовки,brown,"42.5, 45, 48",Reebok,1,16,krossovki-reebok,12
5,"20 марта 2016 г.",PPoKL8,"Кроссовки Adidas","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием. Детали: усиленный мыс, текстильная подкладка и стелька; технология Powerframe обеспечивает поддержку средней части стопы; система ускоренной шнуровки для надежной посадки по ноге; промежуточная подошва ZStrike гарантирует непревзойденную амортизацию.",658.00,,"Мужская обувь",Кроссовки,"black, white",42.5,Adidas,1,0,krossovki-adidas,11
